이름,ZZZ 에이전트,대분류,소분류,피해유형,부가효과,소모 자원,리액션 태그,전용 버프,시너지
"콤보 스킬: 하늘이 무너지고 땅이 갈라진다",콜레다,콤보공격,콤보 스킬,불 피해,무적판정,,,,용광로 가열,벤 협동 공격
"궁극기: 바닥에 처박아주마!",콜레다,콤보공격,궁극기,불 피해,무적판정,데시벨,,용광로 가열,벤 협동 공격
"핵심 패시브: 폭파 망치",콜레다,핵심스킬,핵심 패시브,-,그로기수치증가,,,용광로 가열,
"추가 능력: 벨로보그 경영학",콜레다,핵심스킬,추가 능력,-,,,,,"속성시너지-불, 진영시너지"
"일반 공격: 정산",벤,일반공격,일반공격-탭,물리 피해,,,,,
"회피: 영수증 오류",벤,회피스킬,회피,-,무적판정,,,,
"대시 공격: 비용 청구",벤,회피스킬,대시공격,물리 피해,,,,,
"회피 반격: 청산",벤,회피스킬,회피 반격,불 피해,"높은그로기배율, 무적판정",,,,
"빠른 지원: 공동 채권추심",벤,지원스킬,빠른 지원,불 피해,무적판정,,,,
"패링 지원: 위험 분산",벤,지원스킬,패링 지원,-,"무적판정, 패링",,,,
"지원 돌격: 계약 위반 징벌",벤,지원스킬,지원 돌격,불 피해,무적판정,,,,
"특수 스킬: 채「권」 통계",벤,특수스킬,특수스킬-탭,불 피해,가드판정,,,쉴드,
"강화 특수 스킬: 만기를 알리는 주먹",벤,특수스킬,강화특수스킬-탭,불 피해,"가드판정, 무적판정",에너지,,쉴드,
"콤보 스킬: 날인, 결산",벤,콤보공격,콤보 스킬,불 피해,무적판정,,,,쉴드,
"궁극기: 채「권」, 전면 청산",벤,콤보공격,궁극기,불 피해,무적판정,데시벨,,쉴드,
"핵심 패시브: 수비",벤,핵심스킬,핵심 패시브,-,치명타확률증가,,,가드,
"추가 능력: 합의 계약",벤,핵심스킬,추가 능력,-,,,,,"속성시너지-불, 진영시너지"
"일반 공격: 숙녀의 방망이",루시,일반공격,일반공격-탭,물리 피해,,,,,
"친위대 새끼 멧돼지: 무기를 들자!",루시,일반공격,소환수 공격,물리 피해,,,가드 보어,
"친위대 새끼 멧돼지: 회전 타법!",루시,일반공격,소환수 공격,불 피해,,,가드 보어,
"회피: 볼!",루시,회피스킬,회피,-,무적판정,,,,
"대시 공격: 저돌적으로!",루시,회피스킬,대시공격,물리 피해,,,,,
"회피 반격: 송곳니 반응!",루시,회피스킬,회피 반격,불 피해,"높은그로기배율, 무적판정",,,,
"빠른 지원: 사구!",루시,지원스킬,빠른 지원,불 피해,무적판정,,,,
"패링 지원: 세이프!",루시,지원스킬,패링 지원,-,"무적판정, 패링",,,,
"지원 돌격: 홈인!",루시,지원스킬,지원 돌격,불 피해,무적판정,,,,
"특수 스킬: 안타!",루시,특수스킬,특수스킬-탭,불 피해,경직저항증가,,,,
"강화 특수 스킬: 홈런!",루시,특수스킬,강화특수스킬-탭,불 피해,"무적판정, 높은그로기배율",에너지,,가드 보어,
"특수 스킬: 파이팅!",루시,특수스킬,버프,-,파티공격력증가,,,파이팅!,빠른 지원 연계
"콤보 스킬: 만루 홈런!",루시,콤보공격,콤보 스킬,불 피해,무적판정,,,,파이팅!,
"궁극기: 끝내기 홈런!",루시,콤보공격,궁극기,불 피해,무적판정,데시벨,,파이팅!,가드 보어
"핵심 패시브: 붉은 갈기 친위대",루시,핵심스킬,핵심 패시브,-,피해증가,,,가드 보어,
"추가 능력: 타격 준비!",루시,핵심스킬,추가 능력,-,,,,,"속성시너지-불, 진영시너지"
"일반 공격: 활활 빌딩",버니스,일반공격,일반공격-탭,물리 피해,불 피해,,,,
"일반 공격: 활활 스티어링",버니스,일반공격,일반공격-특수,불 피해,,,,,
"회피: 불타는 그림자",버니스,회피스킬,회피,-,무적판정,,,,
"대시 공격: 위험한 발효",버니스,회피스킬,대시공격,물리 피해,,,,,
"회피 반격: 흔들흔들 스텝",버니스,회피스킬,회피 반격,불 피해,"높은그로기배율, 무적판정",,,,
"빠른 지원: 특제 에너지 음료",버니스,지원스킬,빠른 지원,불 피해,무적판정,,,,
"패링 지원: 스모키 퓨엘",버니스,지원스킬,패링 지원,-,"무적판정, 패링",,,,
"지원 돌격: 후끈한 감로",버니스,지원스킬,지원 돌격,불 피해,무적판정,,,,
"특수 스킬: 이글이글 에이징",버니스,특수스킬,특수스킬-탭,불 피해,경직저항증가,,,발화점,
"강화 특수 스킬: 이글이글 쉐이킹",버니스,특수스킬,강화특수스킬-탭,불 피해,"무적판정, 높은그로기배율",에너지,,발화점,
"강화 특수 스킬: 이글이글 쉐이킹·더블",버니스,특수스킬,강화특수스킬-연계,불 피해,"무적판정, 높은그로기배율",에너지,,잿불,
"콤보 스킬: 연료를 태우는 불꽃",버니스,콤보공격,콤보 스킬,불 피해,무적판정,,,,발화점,
"궁극기: 타오르는 불꽃을 느껴봐",버니스,콤보공격,궁극기,불 피해,무적판정,데시벨,,발화점,
"핵심 패시브: 특제 연료",버니스,핵심스킬,핵심 패시브,-,피해연계,,,잿불,
"추가 능력: 요원의 불길",버니스,핵심스킬,추가 능력,-,,,,,"속성시너지-불, 진영시너지"
일반 공격: L식 포효하는 주먹,라이터,일반공격,일반공격-탭,불 피해,,,사기,사기 분출,
회피: 쉐도우 스텝,라이터,회피스킬,회피,-,무적판정,,,,
대시 공격: 분쇄 주먹,라이터,회피스킬,대시공격,불 피해,,,,,
회피 반격: 섬광,라이터,회피스킬,회피 반격,불 피해,"높은그로기배율, 무적판정",,,,
빠른 지원: 섬광-수비,라이터,지원스킬,빠른 지원,불 피해,무적판정,,,,
패링 지원: 순간 파괴,라이터,지원스킬,패링 지원,-,"무적판정, 패링",,,,
지원 돌격: 분쇄 주먹-찌르기,라이터,지원스킬,지원 돌격,불 피해,무적판정,,,,
특수 스킬: V식 태양 승권,라이터,특수스킬,특수스킬-탭,불 피해,경직저항증가,,,,
강화 특수 스킬: V식 태양 승권-풀파워,라이터,특수스킬,강화특수스킬-탭,불 피해,"무적판정, 높은그로기배율",에너지,,사기 분출,
콤보 스킬: V식 작열하는 태양,라이터,콤보공격,콤보 스킬,불 피해,무적판정,,,붕괴,
궁극기: W식 챔피언의 염화,라이터,콤보공격,궁극기,불 피해,무적판정,데시벨,,붕괴,
핵심 패시브: 조연제,라이터,핵심스킬,핵심 패시브,-,팀 파티버프,,,환희,
추가 능력: 드높은 투지,라이터,핵심스킬,추가 능력,-,,,,,"속성시너지-불, 진영시너지"
일반 공격: 교살식Ⅰ형,이블린,일반공격,일반공격-탭,물리 피해,,,잉걸불,,
일반 공격: 교살식Ⅱ형,이블린,일반공격,일반공격-홀드,불 피해,"경직저항증가, 받는피해감소",잉걸불,,,화승점
회피: 아크 스텝,이블린,회피스킬,회피,-,무적판정,,,,
대시 공격: 잠행 습격,이블린,회피스킬,대시공격,물리 피해,,,,,
회피 반격: 올가미 반격,이블린,회피스킬,회피 반격,불 피해,"높은그로기배율, 무적판정",,,뒤엉킨 금제,
빠른 지원: 달빛타래인도,이블린,지원스킬,빠른 지원,불 피해,무적판정,,,,
패링 지원: 달빛타래차단,이블린,지원스킬,패링 지원,-,"무적판정, 패링",,,,
지원 돌격: 달빛타래단두대,이블린,지원스킬,지원 돌격,불 피해,무적판정,,,,
특수 스킬: 속박식Ⅰ형,이블린,특수스킬,특수스킬-탭,불 피해,경직저항증가,,,감금,뒤엉킨 금제
강화 특수 스킬: 속박식최종형,이블린,특수스킬,강화특수스킬-탭,불 피해,"무적판정, 높은그로기배율",에너지,,감금,뒤엉킨 금제
콤보 스킬: 달빛타래올가미,이블린,콤보공격,콤보 스킬,불 피해,무적판정,화승점,,뒤엉킨 금제,
궁극기: 달빛타래현의 울림,이블린,콤보공격,궁극기,불 피해,무적판정,데시벨,,염무 각성,
핵심 패시브: 얽매는 줄,이블린,핵심스킬,핵심 패시브,-,치명타확률증가,,,뒤엉킨 금제,
추가 능력: 잠습 포인트,이블린,핵심스킬,추가 능력,-,,,,,"클래스 시너지-격파, 클래스 시너지-지원"
일반 공격: 대호칠식범의 발톱,귤복복,일반공격,일반공격-탭,물리 피해,,,,,
일반 공격: 대호칠식산군의 놀음,귤복복,일반공격,일반공격-홀드,불 피해,"경직저항증가, 받는피해감소",위세,여진 공격,위풍,
회피: 대호칠식호랑이를 따르는 바람,귤복복,회피스킬,회피,-,무적판정,,,,
대시 공격: 대호칠식질주하는 호랑이,귤복복,회피스킬,대시공격,물리 피해,,,,,
회피 반격: 대호칠식불타는 산,귤복복,회피스킬,회피 반격,불 피해,"높은그로기배율, 무적판정",,,,
빠른 지원: 호위비호,귤복복,지원스킬,빠른 지원,불 피해,무적판정,,,,
패링 지원: 호위포효,귤복복,지원스킬,패링 지원,-,"무적판정, 패링",,,,
지원 돌격: 호위출림,귤복복,지원스킬,지원 돌격,불 피해,무적판정,,,,
특수 스킬: 대호칠식위협,귤복복,특수스킬,특수스킬-탭,불 피해,경직저항증가,,,,
강화 특수 스킬: 대호칠식맹호강림,귤복복,특수스킬,강화특수스킬-탭,불 피해,"무적판정, 높은그로기배율",에너지,,위세,
콤보 스킬: 호랑솥붕괴,귤복복,콤보공격,콤보 스킬,불 피해,무적판정,,,호위,
궁극기: 호랑솥진살,귤복복,콤보공격,궁극기,불 피해,무적판정,데시벨,여진 공격,위풍,
핵심 패시브: 늠름한 호랑이,귤복복,핵심스킬,핵심 패시브,-,충격력증가,,,어흥,
추가 능력: 무시무시한 작은 호랑이,귤복복,핵심스킬,추가 능력,-,"그로기, 치명타확률증가",,,,"속성시너지-불, 진영시너지"
일반 공격: 고압 화기,오피 & 도깨비불,일반공격,일반공격-탭,불 피해,,,,,
회피: 일렁이는 불빛,오피 & 도깨비불,회피스킬,회피,-,무적판정,,,,
대시 공격: 기습 명령,오피 & 도깨비불,회피스킬,대시공격,물리 피해,,,,,
회피 반격: 반격의 기회,오피 & 도깨비불,회피스킬,회피 반격,불 피해,"높은그로기배율, 무적판정",,,,
빠른 지원: 도깨비불 점화,오피 & 도깨비불,지원스킬,빠른 지원,불 피해,무적판정,,,,
패링 지원: 철벽 방어,오피 & 도깨비불,지원스킬,패링 지원,-,"무적판정, 패링",,,,
지원 돌격: 화염 쇄도,오피 & 도깨비불,지원스킬,지원 돌격,불 피해,무적판정,,,,
특수 스킬: 부식의 섬광,오피 & 도깨비불,특수스킬,특수스킬-탭,불 피해,오프필드 발동,,,정조준,
강화 특수 스킬: 적홍의 소용돌이,오피 & 도깨비불,특수스킬,강화특수스킬-탭,불 피해,오프필드 발동,에너지,여진 공격,정조준,
강화 특수 스킬: 발밑 조심,오피 & 도깨비불,특수스킬,강화특수스킬-탭,불 피해,무적판정,에너지,여진 공격,정조준,
강화 특수 스킬: 응축된 열에너지,오피 & 도깨비불,특수스킬,강화특수스킬-홀드,불 피해,"무적판정, 높은그로기배율",응축열,여진 공격,정조준,
강화 특수 스킬: 열화 분출,오피 & 도깨비불,특수스킬,강화특수스킬-연계,불 피해,무적판정,,여진 공격,정조준,
콤보 스킬: 과열된 총열,오피 & 도깨비불,콤보공격,콤보 스킬,불 피해,무적판정,,여진 공격,정조준,
궁극기: 화염과 함께 춤을,오피 & 도깨비불,콤보공격,궁극기,불 피해,무적판정,데시벨,여진 공격,정조준,
핵심 패시브: 바람과 불을 거느린 자,오피 & 도깨비불,핵심스킬,핵심 패시브,-,"치명타확률증가, 공격력증가",,,정조준,
추가 능력: 호화로운 고양이집,오피 & 도깨비불,핵심스킬,추가 능력,-,"적 방어력무시, 피해증가",,,,"속성시너지-불, 진영시너지"
일반 공격: 열풍·어둠 베기,마나토,일반공격,일반공격-탭,물리 피해,"HP 회복, 피해증가",,,잔화,
강화 일반 공격: 열풍·어둠 베기,마나토,일반공격,일반공격-강화,불 피해,피해증가,,,달궈진 칼날,
회피: 빛나는 칼날,마나토,회피스킬,회피,-,무적판정,,,,
대시 공격: 빛나는 칼날·잔심,마나토,회피스킬,대시공격,물리 피해,,,,,
회피 반격: 빛나는 칼날·교란,마나토,회피스킬,회피 반격,불 피해,"높은그로기배율, 무적판정",,,,
빠른 지원: 칼날의 인도,마나토,지원스킬,빠른 지원,불 피해,무적판정,,,,
패링 지원: 검의 방벽,마나토,지원스킬,패링 지원,-,"무적판정, 패링",,,뜨거운 마음,
지원 돌격: 맹렬한 참격,마나토,지원스킬,지원 돌격,불 피해,"무적판정, 피해증가",,,잔화,
특수 스킬: 잔재,마나토,특수스킬,특수스킬-탭,불 피해,"경직저항증가, 받는피해감소, HP 회복",,,,
강화 특수 스킬: 잔재·희생,마나토,특수스킬,강화특수스킬-홀드,불 피해,"경직저항증가, 받는피해감소, HP 회복",HP,,뜨거운 마음,
강화 특수 스킬: 잔재·추락,마나토,특수스킬,강화특수스킬-파생,불 피해,"무적판정, 높은그로기배율",,,,
콤보 스킬: 맹렬한 폭발,마나토,콤보공격,콤보 스킬,불 피해,무적판정,,,잔화,
궁극기: 맹렬한 폭발·잔야,마나토,콤보공격,궁극기,불 피해,무적판정,데시벨,,잔화,
핵심 패시브: 달궈진 칼날의 기세,마나토,핵심스킬,핵심 패시브,-,"적 방어력무시, 치명타확률증가",,관입력,달궈진 칼날,
추가 능력: 다시 타오르는 마음,마나토,핵심스킬,추가 능력,-,HP 회복,,,잔화,"클래스 시너지-지원, 클래스 시너지-격파"
일반 공격: 험준한 산,반악,일반공격,일반공격-탭,물리 피해,,,,,
일반 공격: 웅장한 산,반악,일반공격,일반공격-탭,물리 피해,,,,,
일반 공격: 분신,반악,일반공격,일반공격-파생,-,기운 회복,,,노상,분개
일반 공격: 무너진 산,반악,일반공격,일반공격-파생,불 피해,피해증가,,,노상,
회피: 산맥 넘기,반악,회피스킬,회피,-,무적판정,,,,
회피: 도발,반악,회피스킬,이동-도발,-,무적판정,,,,
대시 공격: 휘날리는 모래,반악,회피스킬,대시공격,불 피해,,,,,
회피 반격: 흩날리는 자갈,반악,회피스킬,회피 반격,불 피해,"높은그로기배율, 무적판정",,,,
빠른 지원: 산맥의 비호,반악,지원스킬,빠른 지원,불 피해,무적판정,,,,
패링 지원: 산처럼 굳건한,반악,지원스킬,패링 지원,-,"무적판정, 패링",,,분개,
지원 돌격: 하늘을 향한 돌진,반악,지원스킬,지원 돌격,불 피해,무적판정,,,,
강화 특수 스킬: 흔들리는 땅,반악,특수스킬,강화특수스킬-탭,불 피해,"무적판정, 높은그로기배율",기운,전율,완벽 캔슬,
강화 특수 스킬: 요동치는 산,반악,특수스킬,강화특수스킬-탭,불 피해,"무적판정, 높은그로기배율",기운,전율,완벽 캔슬,
강화 특수 스킬: 진리의 말,반악,특수스킬,강화특수스킬-탭,불 피해,"무적판정, 높은그로기배율",기운,전율,완벽 캔슬,
강화 특수 스킬: 사자후,반악,특수스킬,강화특수스킬-탭,불 피해,"무적판정, 높은그로기배율",기운,전율,완벽 캔슬,
강화 특수 스킬: 요동치는 산분노,반악,특수스킬,강화특수스킬-연계,불 피해,"무적판정, 높은그로기배율",기운,전율,완벽 캔슬,
강화 특수 스킬: 사자후분노,반악,특수스킬,강화특수스킬-연계,불 피해,"무적판정, 높은그로기배율",기운,전율,완벽 캔슬,
궁극기: 산악 분쇄,반악,콤보공격,궁극기,불 피해,무적판정,데시벨,전율,노상,
콤보 스킬: 진노의 화염,반악,콤보공격,콤보 스킬,불 피해,무적판정,,,,
핵심 패시브: 뭇 산과 같이,반악,핵심스킬,핵심 패시브,-,"관입 피해증가, 치명타피해증가",,관입력,"기운, 분개, 산의 위력",
추가 능력: 드높은 산꼭대기,반악,핵심스킬,추가 능력,-,불 속성 피해증가,,,명왕,"클래스 시너지-지원, 클래스 시너지-격파"
일반 공격: 늑대의 사냥,리카온,일반공격,일반공격-탭,물리 피해,,,,,
일반 공격: 늑대의 사냥(차지),리카온,일반공격,일반공격-차지,얼음 피해,피해증가,,,,
회피: 적절한 포지셔닝,리카온,회피스킬,회피,-,무적판정,,,,
대시 공격: 청결 유지,리카온,회피스킬,대시공격,물리 피해,,,,,
회피 반격: 예절 교육,리카온,회피스킬,회피 반격,얼음 피해,"높은그로기배율, 무적판정",,,,
빠른 지원: 늑대의 비호,리카온,지원스킬,빠른 지원,얼음 피해,무적판정,,,,
패링 지원: 철저한 경호,리카온,지원스킬,패링 지원,-,"무적판정, 패링",,,,
지원 돌격: 신속한 제압,리카온,지원스킬,지원 돌격,얼음 피해,무적판정,,,,
특수 스킬: 사냥개 추격,리카온,특수스킬,특수스킬-탭,얼음 피해,경직저항증가,,,,
특수 스킬: 사냥개 추격(차지),리카온,특수스킬,특수스킬-차지,얼음 피해,경직저항증가,,,,
강화 특수 스킬: 사냥개 연속 추격,리카온,특수스킬,강화특수스킬-탭,얼음 피해,"무적판정, 높은그로기배율",에너지,,,
강화 특수 스킬: 사냥개 연속 추격(차지),리카온,특수스킬,강화특수스킬-차지,얼음 피해,"무적판정, 높은그로기배율",에너지,,,
콤보 스킬: 명을 따르겠습니다,리카온,콤보공격,콤보 스킬,얼음 피해,무적판정,,,,
궁극기: 불청객 배제,리카온,콤보공격,궁극기,얼음 피해,무적판정,데시벨,,,
핵심 패시브: 금속 늑대 다리,리카온,핵심스킬,핵심 패시브,-,"얼음 속성 피해 저항감소, 그로기수치증가",,,,
추가 능력: 우아한 포식자,리카온,핵심스킬,추가 능력,-,그로기배율증가,,,,"속성시너지-얼음, 진영시너지"
일반 공격: 바람개비,소우카쿠,일반공격,일반공격-탭,물리 피해,,,,,
일반 공격: 바람개비(서리로 물든 깃발),소우카쿠,일반공격,일반공격-강화,얼음 피해,피해증가,,,서리로 물든 깃발,
회피: 한입만,소우카쿠,회피스킬,회피,-,무적판정,,,,
대시 공격: 반띵,소우카쿠,회피스킬,대시공격,물리 피해,,,,,
강화 대시 공격: 반띵(서리로 물든 깃발),소우카쿠,회피스킬,대시공격-강화,얼음 피해,피해증가,,,서리로 물든 깃발,
회피 반격: 내 간식이거든!,소우카쿠,회피스킬,회피 반격,얼음 피해,"높은그로기배율, 무적판정",,,,
빠른 지원: 간식 시간,소우카쿠,지원스킬,빠른 지원,얼음 피해,무적판정,,,,
패링 지원: 깃발 막기,소우카쿠,지원스킬,패링 지원,-,"무적판정, 패링",,,,
지원 돌격: 깃발 휘두르기,소우카쿠,지원스킬,지원 돌격,얼음 피해,무적판정,,,,
특수 스킬: 바람 불기,소우카쿠,특수스킬,특수스킬-탭,물리 피해,경직저항증가,,,,
강화 특수 스킬: 모두 모여!,소우카쿠,특수스킬,강화특수스킬-홀드,얼음 피해,"무적판정, 빠른지원",에너지,깃발 펼치기,"와류, 서리로 물든 깃발",
콤보 스킬: 닭죽탕,소우카쿠,콤보공격,콤보 스킬,얼음 피해,무적판정,,,와류,깃발 펼치기
궁극기: 다 같이 닭죽탕,소우카쿠,콤보공격,궁극기,얼음 피해,무적판정,데시벨,,와류,깃발 펼치기
핵심 패시브: 깃발의 격려,소우카쿠,핵심스킬,핵심 패시브,-,공격력증가,,깃발 펼치기,와류,
추가 능력: 단체급식 세트,소우카쿠,핵심스킬,추가 능력,-,얼음 속성 피해증가,,,,"속성시너지-얼음, 진영시너지"
일반 공격: 급랭 전지법,엘렌,일반공격,일반공격-탭,물리 피해,,,,,
일반 공격: 칼날 파도,엘렌,일반공격,일반공격-강화,얼음 피해,피해증가,급랭 충전,,,
일반 공격: 서리 칼날,엘렌,일반공격,일반공격-강화,얼음 피해,피해증가,,,고속 차지,
회피: 소용돌이,엘렌,회피스킬,회피,-,무적판정,,,고속 차지,
대시 공격: 성난 파도,엘렌,회피스킬,대시공격,물리 피해,,,,,
대시 공격: 한파,엘렌,회피스킬,대시공격-강화,얼음 피해,피해증가,급랭 충전,급랭,,
대시 공격: 살얼음 잠습,엘렌,회피스킬,대시공격-차지,얼음 피해,피해증가,급랭 충전,급랭,성대한 연회,
회피 반격: 암초,엘렌,회피스킬,회피 반격,얼음 피해,"높은그로기배율, 무적판정",,,,
강화 특수 스킬: 휩쓸기,엘렌,특수스킬,강화특수스킬-탭,얼음 피해,"무적판정, 높은그로기배율",에너지,,급랭 충전,
강화 특수 스킬: 샤크나미,엘렌,특수스킬,강화특수스킬-연계,얼음 피해,"무적판정, 높은그로기배율",에너지,,급랭 충전,
콤보 스킬: 눈사태,엘렌,콤보공격,콤보 스킬,얼음 피해,무적판정,,,,
궁극기: 끝없는 겨울,엘렌,콤보공격,궁극기,얼음 피해,무적판정,데시벨,,,
핵심 패시브: 날카로운 이빨,엘렌,핵심스킬,핵심 패시브,-,치명타피해증가,,,급랭 충전,
추가 능력: 끝없는 한파,엘렌,핵심스킬,추가 능력,-,"에너지 회복, 관통률증가",빙결,급랭 충전,"고속 차지, 성대한 연회","속성시너지-얼음, 진영시너지"
일반 공격: 바람꽃,미야비,일반공격,일반공격-탭,물리 피해,가드 판정,,,,
일반 공격: 서리와 달,미야비,일반공격,일반공격-특수,얼음 피해,피해증가,내리는 서리,"서리열, 서리열파괴",서리와 달 자세,
회피: 물새,미야비,회피스킬,회피,-,무적판정,,,,
대시 공격: 겨울 벌,미야비,회피스킬,대시공격,물리 피해,,,,,
회피 반격: 겨울 참새,미야비,회피스킬,회피 반격,얼음 피해,"높은그로기배율, 무적판정",,,,
빠른 지원: 벚꽃 흩날리기,미야비,지원스킬,빠른 지원,얼음 피해,무적판정,,,,
패링 지원: 서릿발 가드,미야비,지원스킬,패링 지원,-,"무적판정, 패링",,,,
지원 돌격: 베어 가르기,미야비,지원스킬,지원 돌격,얼음 피해,무적판정,,,,
특수 스킬: 검의 춤,미야비,특수스킬,특수스킬-탭,얼음 피해,경직저항증가,,,,
강화 특수 스킬: 만발하는 검의 춤,미야비,특수스킬,강화특수스킬-탭,얼음 피해,"무적판정, 관통률증가",에너지,서리열,내리는 서리,
콤보 스킬: 봄이 온다,미야비,콤보공격,콤보 스킬,얼음 피해,무적판정,,,,
궁극기: 눈송이의 연회,미야비,콤보공격,궁극기,얼음 피해,무적판정,데시벨,혼돈,내리는 서리,
핵심 패시브: 설상가상,미야비,핵심스킬,핵심 패시브,-,이상마스터리증가,,,서리열,서리와 달 자세
추가 능력: 함께 맞는 눈서리,미야비,핵심스킬,추가 능력,-,"방어력 무시, 피해증가",,,내리는 서리,"속성시너지-얼음, 진영시너지"
일반 공격: 암연의 사중주,휴고,일반공격,일반공격-탭,물리 피해,,,,,
일반 공격: 암연의 협주곡,휴고,일반공격,일반공격-특수,얼음 피해,"피해감소, 경직저항증가",,,,
회피: 기만의 그림자,휴고,회피스킬,회피,-,무적판정,,,,
대시 공격: 기만의 그림자파괴,휴고,회피스킬,대시공격,물리 피해,,,,,
회피 반격: 기만의 그림자베기,휴고,회피스킬,회피 반격,얼음 피해,"높은그로기배율, 무적판정, 피해감소",,,,
빠른 지원: 장송곡,휴고,지원스킬,빠른 지원,얼음 피해,"무적판정, 피해감소",,,,
패링 지원: 역전의 카드,휴고,지원스킬,패링 지원,-,"무적판정, 패링",,,,
특수 스킬: 혼령 사냥,휴고,특수스킬,특수스킬-탭,물리 피해,경직저항증가,,,,
강화 특수 스킬: 혼령 사냥징벌,휴고,특수스킬,강화특수스킬-탭,얼음 피해,무적판정,에너지,,결산,
콤보 스킬: 운명의 트릭,휴고,콤보공격,콤보 스킬,얼음 피해,무적판정,,,,
궁극기: 신을 모독한 자,휴고,콤보공격,궁극기,얼음 피해,무적판정,데시벨,,결산,
핵심 패시브: 종말의 심판,휴고,핵심스킬,핵심 패시브,-,"치명타확률증가, 치명타피해증가",,암연의 메아리,결산,
추가 능력: 종언의 서곡,휴고,핵심스킬,추가 능력,-,"피해증가, 에너지 회복",,,결산,"속성시너지-얼음, 진영시너지"
일반 공격: 서릿발의 포옹,이드하리,일반공격,일반공격-차지,얼음 피해,"경직저항증가, HP소모",,,,
일반 공격: 짓누르는 서리,이드하리,일반공격,일반공격-특수,얼음 피해,"반격, 피해감소",,,,
일반 공격: 추격하는 한기,이드하리,일반공격,일반공격-파생,얼음 피해,경직저항증가,기운,"한기, 추격",,
회피: 움직이는 꿈,이드하리,회피스킬,회피,-,무적판정,,,,
대시 공격: 요동치는 서릿발,이드하리,회피스킬,대시공격,얼음 피해,,,,,
회피 반격: 얼음의 잔향,이드하리,회피스킬,회피 반격,얼음 피해,"높은그로기배율, 무적판정",,,,
강화 특수 스킬: 서리감기,이드하리,특수스킬,강화특수스킬-탭,얼음 피해,"무적판정, HP회복",기운,,,
강화 특수 스킬: 극한의 중압,이드하리,특수스킬,강화특수스킬-파생,얼음 피해,"무적판정, HP회복",기운,"한기, 추격",,
콤보 스킬: 한랭의 맹세,이드하리,콤보공격,콤보 스킬,얼음 피해,무적판정,,,에테르 장막·용천,
핵심 패시브: 꿈을 줍는 공상,이드하리,핵심스킬,핵심 패시브,-,데시벨회복증가,,,에테르 장막·용천,깨우침
특수 능력: 에테르 장막·용천,이드하리,핵심스킬,특수 패시브,-,"파티HP증가, 차지속도증가",데시벨,,에테르 장막·용천,
